party,mean,perc_2.5,perc_97.5,date
Republican,0.1598356158489009,0.1551701398048008,0.1643152989904219,2021-04-01
Democrat,0.169089656006926,0.1643270376042198,0.1743799539759652,2021-05-01
Fake,0.0,0.0,0.0,2021-05-01
Independent,0.1876975718505779,0.15,0.2310756972111553,2021-05-01
Libertarian,0.2401485474246305,0.1311475409836065,0.3725490196078431,2021-05-01
Republican,0.1634643080584684,0.1573568168670052,0.1692199217998846,2021-05-01
Democrat,0.1574529259337936,0.1525132884108316,0.1622396492115692,2021-06-01
Independent,0.1515190027292552,0.09375,0.205,2021-06-01
Libertarian,0.21211577735658,0.1076923076923077,0.3125,2021-06-01
Republican,0.1677422234237263,0.1620364470498279,0.173137328810152,2021-06-01
Democrat,0.1693152073048217,0.1632679568775165,0.1734532220081353,2021-07-01
